"WindCodes","RT_DATE","RT_TIME","RT_PRE_CLOSE","RT_OPEN","RT_HIGH","RT_LOW","RT_LAST","RT_LAST_AMT","RT_LAST_VOL","RT_LATEST","RT_VOL","RT_AMT","RT_CHG","RT_PCT_CHG","RT_MKT_VOL","RT_UP_TOTAL","RT_SAME_TOTAL","RT_DOWN_TOTAL","RT_PE_TTM"
TB7Y.WI,20251120,0,1.6988,1.69,1.702,1.686,1.69,0,0,1.69,31000,0,-0.0088,-0.0052,0,0,0,0,0
TBF10Y.WI,20251120,0,1.807,1.8085,1.8125,1.8045,1.8085,0,0,1.8085,62300,0,0.0015,0.0008,0,0,0,0,0
TBF1Y.WI,20251120,0,1.34,1.339,1.34,1.339,1.339,0,0,1.339,500,0,-0.001,-0.0007,0,0,0,0,0
TBF30Y.WI,20251120,0,2.135,2.145,2.1499,2.135,2.145,0,0,2.145,22600,0,0.01,0.0047,0,0,0,0,0
TBF3Y.WI,20251120,0,1.36,1.355,1.3575,1.355,1.355,0,0,1.355,1100,0,-0.005,-0.0037,0,0,0,0,0
TBF5Y.WI,20251120,0,1.55,1.545,1.55,1.537,1.545,0,0,1.545,5500,0,-0.005,-0.0032,0,0,0,0,0
TBF7Y.WI,20251120,0,1.7,1.7,1.7,1.7,1.7,0,0,1.7,100,0,0,0,0,0,0,0,0
TBO10Y.WI,20251120,0,1.8135,1.813,1.8198,1.81,1.813,0,0,1.813,10600,0,-0.0005,-0.0003,0,0,0,0,0
TBO1Y.WI,20251120,0,1.402,1.4025,1.4025,1.4,1.4025,0,0,1.4025,3200,0,0.0005,0.0004,0,0,0,0,0
TBO30Y.WI,20251120,0,2.146,2.1515,2.159,2.1425,2.1515,0,0,2.1515,201900,0,0.0055,0.0026,0,0,0,0,0
TBO3Y.WI,20251120,0,1.4325,1.43,1.43,1.43,1.43,0,0,1.43,1200,0,-0.0025,-0.0017,0,0,0,0,0
TBO5Y.WI,20251120,0,1.5875,1.5775,1.585,1.5775,1.5775,0,0,1.5775,12200,0,-0.01,-0.0063,0,0,0,0,0
TBO7Y.WI,20251120,0,1.6988,1.69,1.702,1.686,1.69,0,0,1.69,31000,0,-0.0088,-0.0052,0,0,0,0,0
TBS10Y.WI,20251120,0,1.755,1.756,1.76,1.7525,1.756,0,0,1.756,17800,0,0.001,0.0006,0,0,0,0,0
TBS1Y.WI,20251120,0,1.34,1.339,1.34,1.339,1.339,0,0,1.339,500,0,-0.001,-0.0007,0,0,0,0,0
TBS30Y.WI,20251120,0,2.094,2.105,2.11,2.0925,2.105,0,0,2.105,48300,0,0.011,0.0053,0,0,0,0,0
TBS3Y.WI,20251120,0,1.36,1.355,1.3575,1.355,1.355,0,0,1.355,1100,0,-0.005,-0.0037,0,0,0,0,0
TBS5Y.WI,20251120,0,1.5325,1.525,1.535,1.52,1.525,0,0,1.525,10600,0,-0.0075,-0.0049,0,0,0,0,0
TBS7Y.WI,20251120,0,1.6575,1.65,1.66,1.6475,1.65,0,0,1.65,21600,0,-0.0075,-0.0045,0,0,0,0,0
TBSF10Y.WI,20251120,0,1.755,1.756,1.76,1.7525,1.756,0,0,1.756,17800,0,0.001,0.0006,0,0,0,0,0
TBSF1Y.WI,20251120,0,1.34,1.32,1.32,1.32,1.32,0,0,1.32,200,0,-0.02,-0.0149,0,0,0,0,0
TBSF30Y.WI,20251120,0,2.094,2.105,2.11,2.0925,2.105,0,0,2.105,48300,0,0.011,0.0053,0,0,0,0,0
TBSF3Y.WI,20251120,0,1.365,1.365,1.3675,1.365,1.365,0,0,1.365,1200,0,0,0,0,0,0,0,0
TBSF5Y.WI,20251120,0,1.555,1.54,1.5475,1.54,1.54,0,0,1.54,2500,0,-0.015,-0.0096,0,0,0,0,0
TBSF7Y.WI,20251120,0,1.6575,1.65,1.66,1.6475,1.65,0,0,1.65,21600,0,-0.0075,-0.0045,0,0,0,0,0


数据来源：Wind
